TierID,TierName,CollarID,DatetimeUTC,E,N
010C,Caro,13973,2015-09-15T09:00:00Z,2570499.8820600123,1205093.6645272407
010C,Caro,13973,2015-09-15T09:01:00Z,2570498.383541418,1205089.0471601046
010C,Caro,13973,2015-09-15T09:02:00Z,2570495.1675975155,1205092.4205354268
010C,Caro,13973,2015-09-15T09:03:00Z,2570498.884721507,1205091.9462909948
010C,Caro,13973,2015-09-15T09:04:00Z,2570499.136163971,1205092.0339824902
010C,Caro,13973,2015-09-15T09:05:00Z,2570496.894508703,1205089.4102984918
010C,Caro,13973,2015-09-15T09:06:00Z,2570497.395689488,1205092.3094292565
010C,Caro,13973,2015-09-15T09:07:00Z,2570497.1451267223,1205090.8654223848
010C,Caro,13973,2015-09-15T09:08:00Z,2570497.1451267223,1205090.8654223848
010C,Caro,13973,2015-09-15T09:09:00Z,2570497.6463072696,1205093.764553173
010C,Caro,13973,2015-09-15T09:10:00Z,2570504.82415047,1205088.6594693286
010C,Caro,13973,2015-09-15T09:11:00Z,2570574.085066196,1205100.5566158285
010C,Caro,13973,2015-09-15T09:12:00Z,2570617.68492948,1205086.8335829594
010C,Caro,13973,2015-09-15T09:13:00Z,2570619.8996286644,1205084.009966849
010C,Caro,13973,2015-09-15T09:14:00Z,2570625.5876357267,1205080.6244518873
010C,Caro,13973,2015-09-15T09:15:00Z,2570624.5710381614,1205073.4588116722
010C,Caro,13973,2015-09-15T09:16:00Z,2570619.843987169,1205068.1236162407
010C,Caro,13973,2015-09-15T09:17:00Z,2570618.354089549,1205069.8541567002
010C,Caro,13973,2015-09-15T09:18:00Z,2570623.0887466483,1205075.189313405
010C,Caro,13973,2015-09-15T09:19:00Z,2570625.0865163873,1205077.7253104055
010C,Caro,13973,2015-09-15T09:20:00Z,2570623.1021970087,1205077.9129861197
010C,Caro,13973,2015-09-15T09:21:00Z,2570600.077639725,1205088.632640128
010C,Caro,13973,2015-09-15T09:22:00Z,2570594.1314543756,1205090.5630890855
010C,Caro,13973,2015-09-15T09:23:00Z,2570597.584586546,1205085.9212225503
010C,Caro,13973,2015-09-15T09:24:00Z,2570597.8351251674,1205087.3652336337
010C,Caro,13973,2015-09-15T09:25:00Z,2570597.8351251674,1205087.3652336337
010C,Caro,13973,2015-09-15T09:26:00Z,2570599.0870874915,1205088.2817820106
010C,Caro,13973,2015-09-15T09:27:00Z,2570597.584586546,1205085.9212225503
010C,Caro,13973,2015-09-15T09:28:00Z,2570599.3452867055,1205089.736872601
010C,Caro,13973,2015-09-15T09:29:00Z,2570597.598048579,1205088.6448952497
010C,Caro,13973,2015-09-15T09:30:00Z,2570597.8216632456,1205084.641560934
010C,Caro,13973,2015-09-15T09:31:00Z,2570600.064123882,1205085.8978503903
010C,Caro,13973,2015-09-15T09:32:00Z,2570596.1157686776,1205090.3754037349
010C,Caro,13973,2015-09-15T09:33:00Z,2570596.3595487024,1205090.4520198903
010C,Caro,13973,2015-09-15T09:34:00Z,2570593.8867726116,1205091.8427884572
010C,Caro,13973,2015-09-15T09:35:00Z,2570593.6496421024,1205093.111333209
010C,Caro,13973,2015-09-15T09:36:00Z,2570597.848642036,1205090.1000233707
010C,Caro,13973,2015-09-15T09:37:00Z,2570594.1314543756,1205090.5630890855
010C,Caro,13973,2015-09-15T09:38:00Z,2570591.9100649683,1205092.0304369526
010C,Caro,13973,2015-09-15T09:39:00Z,2570594.1381587093,1205091.9193669267
010C,Caro,13973,2015-09-15T09:40:00Z,2570591.6518640323,1205090.5753466801
010C,Caro,13973,2015-09-15T09:41:00Z,2570589.430475235,1205092.042695466
010C,Caro,13973,2015-09-15T09:42:00Z,2570593.6429376565,1205091.7550553721
010C,Caro,13973,2015-09-15T09:43:00Z,2570594.1314543756,1205090.5630890855
010C,Caro,13973,2015-09-15T09:44:00Z,2570597.8890827484,1205098.2821586058
010C,Caro,13973,2015-09-15T09:45:00Z,2570595.6676953174,1205099.7495050922
010C,Caro,13973,2015-09-15T09:46:00Z,2570596.406750237,1205100.0015500095
010C,Caro,13973,2015-09-15T09:47:00Z,2570587.7035182477,1205095.0529056261
010C,Caro,13973,2015-09-15T09:48:00Z,2570583.9634507024,1205087.811799687
010C,Caro,13973,2015-09-15T09:49:00Z,2570591.1439690026,1205086.3088131428
010C,Caro,13973,2015-09-15T09:50:00Z,2570591.394564128,1205087.763940987
010C,Caro,13973,2015-09-15T09:51:00Z,2570593.392343238,1205090.2999274237
010C,Caro,13973,2015-09-15T09:52:00Z,2570595.8643275904,1205090.287708152
010C,Caro,13973,2015-09-15T09:53:00Z,2570595.8710315297,1205091.643985991
010C,Caro,13973,2015-09-15T09:54:00Z,2570595.8643275904,1205090.287708152
010C,Caro,13973,2015-09-15T09:55:00Z,2570595.6137336562,1205088.832580108
010C,Caro,13973,2015-09-15T09:56:00Z,2570593.8665495315,1205087.7517208855
010C,Caro,13973,2015-09-15T09:57:00Z,2570594.1179358014,1205087.8282993503
010C,Caro,13973,2015-09-15T09:58:00Z,2570595.606974711,1205087.4651852467
010C,Caro,13973,2015-09-15T09:59:00Z,2570595.8643275904,1205090.287708152
010C,Caro,13973,2015-09-15T10:00:00Z,2570596.3595487024,1205090.4520198903
010C,Caro,13973,2015-09-15T10:01:00Z,2570593.6294188555,1205089.0202656314
010C,Caro,13973,2015-09-15T10:02:00Z,2570596.1292313915,1205093.0990764515
010C,Caro,13973,2015-09-15T10:03:00Z,2570593.128284632,1205086.1211267952
010C,Caro,13973,2015-09-15T10:04:00Z,2570596.1157686776,1205090.3754037349
010C,Caro,13973,2015-09-15T10:05:00Z,2570592.1471401956,1205090.7507751002
010C,Caro,13973,2015-09-15T10:06:00Z,2570594.3752893717,1205090.650822194
010C,Caro,13973,2015-09-15T10:07:00Z,2570593.1570144882,1205096.549015115
010C,Caro,13973,2015-09-15T10:08:00Z,2570594.8611590946,1205085.8457455665
010C,Caro,13973,2015-09-15T10:09:00Z,2570593.392343238,1205090.2999274237
010C,Caro,13973,2015-09-15T10:10:00Z,2570599.0870874915,1205088.2817820106
010C,Caro,13973,2015-09-15T10:11:00Z,2570597.598048579,1205088.6448952497
010C,Caro,13973,2015-09-15T10:12:00Z,2570595.857568701,1205088.92031328
010C,Caro,13973,2015-09-15T10:13:00Z,2570597.8553455235,1205091.4563012142
010C,Caro,13973,2015-09-15T10:14:00Z,2570597.0825515417,1205084.3783988156
010C,Caro,13973,2015-09-15T10:15:00Z,2570595.6137336562,1205088.832580108
010C,Caro,13973,2015-09-15T10:16:00Z,2570595.8710315297,1205091.643985991
010C,Caro,13973,2015-09-15T10:17:00Z,2570597.598048579,1205088.6448952497
010C,Caro,13973,2015-09-15T10:18:00Z,2570600.8005916467,1205082.5479024958
010C,Caro,13973,2015-09-15T10:19:00Z,2570599.8261986235,1205088.5449443827
010C,Caro,13973,2015-09-15T10:20:00Z,2570598.607917904,1205094.4431361668
010C,Caro,13973,2015-09-15T10:21:00Z,2570597.604807069,1205090.0122901215
010C,Caro,13973,2015-09-15T10:22:00Z,2570598.8567688772,1205090.928838459
010C,Caro,13973,2015-09-15T10:23:00Z,2570599.0870874915,1205088.2817820106
010C,Caro,13973,2015-09-15T10:24:00Z,2570599.589121658,1205089.8246059206
010C,Caro,13973,2015-09-15T10:25:00Z,2570597.848642036,1205090.1000233707
010C,Caro,13973,2015-09-15T10:26:00Z,2570596.373066255,1205093.1868096425
010C,Caro,13973,2015-09-15T10:27:00Z,2570596.1157686776,1205090.3754037349
010C,Caro,13973,2015-09-15T10:28:00Z,2570595.6137336562,1205088.832580108
010C,Caro,13973,2015-09-15T10:29:00Z,2570597.354213549,1205088.557162009
010C,Caro,13973,2015-09-15T10:30:00Z,2570596.1224725596,1205091.7316815762
010C,Caro,13973,2015-09-15T10:31:00Z,2570597.604807069,1205090.0122901215
010C,Caro,13973,2015-09-15T10:32:00Z,2570595.3564355536,1205086.0211742553
010C,Caro,13973,2015-09-15T10:33:00Z,2570595.606974711,1205087.4651852467
010C,Caro,13973,2015-09-15T10:34:00Z,2570595.8643275904,1205090.287708152
010C,Caro,13973,2015-09-15T10:35:00Z,2570596.1157686776,1205090.3754037349
010C,Caro,13973,2015-09-15T10:36:00Z,2570597.848642036,1205090.1000233707
010C,Caro,13973,2015-09-15T10:37:00Z,2570597.8553455235,1205091.4563012142
010C,Caro,13973,2015-09-15T10:38:00Z,2570601.5733814286,1205089.625805353
010C,Caro,13973,2015-09-15T10:39:00Z,2570599.0803293437,1205086.914387143
010C,Caro,13973,2015-09-15T10:40:00Z,2570597.598048579,1205088.6448952497
010C,Caro,13973,2015-09-15T10:41:00Z,2570599.0803293437,1205086.914387143
010C,Caro,13973,2015-09-15T10:42:00Z,2570601.064645008,1205086.7267034356
010C,Caro,13973,2015-09-15T10:43:00Z,2570603.069177571,1205090.630087983
010C,Caro,13973,2015-09-15T10:44:00Z,2570601.5733814286,1205089.625805353
010C,Caro,13973,2015-09-15T10:45:00Z,2570603.5644533895,1205090.8055173554
010C,Caro,13973,2015-09-15T10:46:00Z,2570599.3519898527,1205091.093150447
010C,Caro,13973,2015-09-15T10:47:00Z,2570598.1203032853,1205094.2787866453
010C,Caro,13973,2015-09-15T10:48:00Z,2570594.38199365,1205092.0071000322
010C,Caro,13973,2015-09-15T10:49:00Z,2570597.8418836016,1205088.732628498
010C,Caro,13973,2015-09-15T10:50:00Z,2570599.595824749,1205091.1808837662
010C,Caro,13973,2015-09-15T10:51:00Z,2570598.113544909,1205092.9113917626
010C,Caro,13973,2015-09-15T10:52:00Z,2570594.1246950887,1205089.1956942186
010C,Caro,13973,2015-09-15T10:53:00Z,2570589.905525544,1205088.1270561465
010C,Caro,13973,2015-09-15T10:54:00Z,2570589.898765291,1205086.7596612854
010C,Caro,13973,2015-09-15T10:55:00Z,2570587.663008617,1205086.8596534748
010C,Caro,13973,2015-09-15T10:56:00Z,2570589.6473239595,1205086.67196597
010C,Caro,13973,2015-09-15T10:57:00Z,2570595.6204926018,1205090.199974979
010C,Caro,13973,2015-09-15T10:58:00Z,2570595.8710315297,1205091.643985991
010C,Caro,13973,2015-09-15T10:59:00Z,2570599.589121658,1205089.8246059206
010C,Caro,13973,2015-09-15T11:00:00Z,2570598.1203032853,1205094.2787866453
010C,Caro,13973,2015-09-15T11:01:00Z,2570598.127006716,1205095.6350644948
010C,Caro,13973,2015-09-15T11:02:00Z,2570594.9110102514,1205099.0083860646
010C,Caro,13973,2015-09-15T11:03:00Z,2570594.402216391,1205096.0981676402
010C,Caro,13973,2015-09-15T11:04:00Z,2570594.6460511577,1205096.1859007617
010C,Caro,13973,2015-09-15T11:05:00Z,2570594.6460511577,1205096.1859007617
010C,Caro,13973,2015-09-15T11:06:00Z,2570586.451555573,1205094.1363596232
010C,Caro,13973,2015-09-15T11:07:00Z,2570585.2198215583,1205097.3108814708
010C,Caro,13973,2015-09-15T11:08:00Z,2570581.9547976404,1205086.1541371185
010C,Caro,13973,2015-09-15T11:09:00Z,2570579.935022026,1205074.5576613264
010C,Caro,13973,2015-09-15T11:10:00Z,2570570.675689142,1205057.1492955526
010C,Caro,13973,2015-09-15T11:11:00Z,2570566.958482945,1205057.6123781786
010C,Caro,13973,2015-09-15T11:12:00Z,2570570.6823987723,1205058.5055732878
010C,Caro,13973,2015-09-15T11:13:00Z,2570566.2058902294,1205054.62554741
010C,Caro,13973,2015-09-15T11:14:00Z,2570564.723610845,1205056.3560635943
010C,Caro,13973,2015-09-15T11:15:00Z,2570564.723610845,1205056.3560635943
010C,Caro,13973,2015-09-15T11:16:00Z,2570564.974158601,1205057.8000732255
010C,Caro,13973,2015-09-15T11:17:00Z,2570564.4788789,1205057.6246470683
010C,Caro,13973,2015-09-15T11:18:00Z,2570564.723610845,1205056.3560635943
010C,Caro,13973,2015-09-15T11:19:00Z,2570564.730321828,1205057.7123413268
010C,Caro,13973,2015-09-15T11:20:00Z,2570576.8935779114,1205059.3975853715
010C,Caro,13973,2015-09-15T11:21:00Z,2570590.0801744624,1205069.60476603
010C,Caro,13973,2015-09-15T11:22:00Z,2570599.8261986235,1205088.5449443827
010C,Caro,13973,2015-09-15T11:23:00Z,2570594.38199365,1205092.0071000322
010C,Caro,13973,2015-09-15T11:24:00Z,2570593.8800132666,1205090.475393586
010C,Caro,13973,2015-09-15T11:25:00Z,2570594.3752893717,1205090.650822194
010C,Caro,13973,2015-09-15T11:26:00Z,2570596.1157686776,1205090.3754037349
